Ano,Mês,LOCAL,INSCRIÇÃO,HIDROMETRO,LEITURA ANTERIOR,LEITURA ATUAL,m3,R$
2007,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,50,4796.6
2008,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,451,5060.72
2009,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,250,2947.8
2010,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,440,5555.4
2011,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,646,8526.48
2012,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,556,7861.24
2013,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,555,8728.6
2014,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,556,9572.64
2015,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,556,9572.64
2016,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,443,9518.64
2017,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,185,4779.72
2018,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,157,3786.38
2019,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,289,7418.97
2020,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,352,9412.85
2021,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,69,1814.14
2022,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,116,3196.28
2023,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,410,11897.98
2024,1,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,540,17733.7
2007,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,623,6809.6
2008,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,480,5389.0
2009,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,235,2768.1
2010,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,440,555.4
2011,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,686,9195.61
2012,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,599,8631.9
2013,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,849,13472.84
2014,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,626,10786.44
2015,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,626,10786.44
2016,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,440,9689.0
2017,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,477,12488.52
2018,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,420,10293.0
2019,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,340,8313.8
2020,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,460,12021.4
2021,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,74,1963.84
2022,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,152,4259.72
2023,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,562,17580.4
2024,2,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,515,16900.7
2007,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,461,5036.82
2008,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,522,5895.56
2009,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,190,2229.0
2010,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,359,4770.67
2011,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,524,6937.56
2012,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,525,7537.41
2013,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,726,11509.44
2014,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,700,12125.4
2015,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,700,12125.4
2016,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,407,8955.74
2017,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,410,10719.72
2018,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,441,10812.54
2019,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,354,9350.61
2020,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,423,11046.08
2021,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,54,1369.83
2022,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,145,4052.94
2023,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,430,13393.36
2024,3,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,514,16867.38
2007,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,673,7573.76
2008,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,806,9608.68
2009,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,290,3644.4
2010,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,184,2391.12
2011,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,580,8203.0
2012,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,678,10676.92
2013,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,699,12052.26
2014,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,504,9311.08
2015,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,504,9311.08
2016,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,621,13710.82
2017,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,631,16554.12
2018,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,597,14671.68
2019,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,517,12713.26
2020,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,236,6116.76
2021,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,62,1609.1
2022,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,206,5854.88
2023,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,336,10411.68
2024,4,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,245,8491.62
2007,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,778,8762.36
2008,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,1022,12196.36
2009,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,319,3975.64
2010,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,223,2909.04
2011,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,652,9228.28
2012,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,730,11500.6
2013,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,624,10751.76
2014,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,461,8510.42
2015,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,461,8510.42
2016,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,647,14288.54
2017,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,600,15735.72
2018,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,445,10911.5
2019,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,627,15875.16
2020,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,64,1608.36
2021,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,83,2236.9
2022,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,227,6475.22
2023,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,479,14947.64
2024,5,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,397,13046.4
2007,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,601,6758.72
2008,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,601,6758.72
2009,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,261,3274.94
2010,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,227,3081.48
2011,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,632,8943.48
2012,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,731,11516.44
2013,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,619,11452.56
2014,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,546,10093.12
2015,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,546,10093.12
2016,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,584,12958.36
2017,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,701,16757.24
2018,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,170,4108.0
2019,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,639,16882.58
2020,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,62,1604.56
2021,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,73,1933.08
2022,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,242,6918.32
2023,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,585,18309.96
2024,6,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,309,11030.8
2007,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,345,3860.8
2008,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,827,9860.26
2010,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,344,4515.92
2011,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,450,6351.8
2012,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,428,6716.92
2013,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,608,10474.32
2014,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,474,8752.48
2015,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,474,8752.48
2016,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,655,15625.2
2017,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,639,15711.06
2018,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,228,5542.92
2019,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,665,17425.2
2020,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,84,2263.24
2021,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,84,2251.0
2022,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,476,13830.68
2023,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,471,14693.88
2024,7,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,625,22602.72
2007,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,238,2649.56
2008,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,604,7188.72
2010,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,268,3551.79
2011,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,318,4472.12
2012,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,349,5465.56
2013,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,10,252.14
2014,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,703,13016.46
2015,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,703,13016.46
2016,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,669,15961.2
2017,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,521,12791.74
2018,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,344,8412.76
2019,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,587,15369.12
2020,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,98,2682.4
2021,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,73,1931.16
2022,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,674,19679.6
2023,8,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,563,16808.16
2007,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,27,261.04
2008,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,743,8853.94
2010,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,550,7251.6
2011,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,330,4643.0
2012,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,349,5465.56
2014,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,1012,18770.04
2015,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,1012,18770.04
2016,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,732,17473.2
2017,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,665,16354.3
2018,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,489,12000.06
2019,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,624,16344.44
2020,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,69,1814.14
2021,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,93,2516.86
2022,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,584,16975.84
2023,9,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,569,18699.98
2007,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,557,6260.64
2008,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,862,10279.56
2010,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,631,8327.28
2011,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,555,7893.43
2012,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,758,11944.12
2013,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,1497,25889.0
2014,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,1172,21749.24
2015,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,1172,21749.24
2016,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,827,19753.2
2017,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,750,18457.2
2018,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,583,14325.62
2019,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,668,17504.28
2020,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,78,2083.6
2021,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,97,2635.85
2022,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,485,14059.3
2023,10,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,597,19632.94
2007,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,804,9056.68
2008,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,764,9105.52
2010,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,650,8579.6
2011,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,722,10304.01
2012,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,758,11944.12
2014,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,1069,19831.38
2015,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,1069,19831.38
2016,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,537,12793.2
2017,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,635,15612.1
2018,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,508,12470.12
2019,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,679,17794.24
2020,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,118,3281.2
2021,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,84,2251.87
2022,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,294,8438.04
2023,11,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,644,21198.98
2007,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,805,9068.0
2008,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,5945,6280,538,6398.04
2011,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,731,10456.28
2012,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,877,13829.08
2014,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,744,13779.88
2015,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,744,13779.88
2016,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,147,3776.52
2017,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,601,14770.94
2018,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,564,13855.56
2019,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,721,18901.36
2020,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,64,1664.44
2021,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,76,2014.68
2022,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,474,13735.24
2023,12,BIBLIOTECA CENTRA-BCE LIGAÇÃO 02,4803493,E03N001461,0,0,690,22731.7
2016,1,BSAN UNB LD BSAN,7204647,A14B946881,0,0,162,3446.49
2017,1,BSAN UNB LD BSAN,7204647,A14B946881,0,0,83,2086.92
2018,1,BSAN UNB LD BSAN,7204647,A14B946881,0,0,199,4825.46
2019,1,BSAN UNB LD BSAN,7204647,A14B946881,0,0,101,2478.68
2020,1,BSAN UNB LD BSAN,7204647,A14B946881,0,0,166,4394.45
2021,1,BSAN UNB LD BSAN,7204647,A14B946881,0,0,28,646.36
2022,1,BSAN UNB LD BSAN,7204647,A14B946881,0,0,27,625.98
2023,1,BSAN UNB LD BSAN,7204647,A14B946881,0,0,131,3645.16
2024,1,BSAN UNB LD BSAN,7204647,A14B946881,0,0,185,5905.1
2016,2,BSAN UNB LD BSAN,7204647,A14B946881,0,0,110,2356.4
2017,2,BSAN UNB LD BSAN,7204647,A14B946881,0,0,121,3090.12
2018,2,BSAN UNB LD BSAN,7204647,A14B946881,0,0,193,4677.02
2019,2,BSAN UNB LD BSAN,7204647,A14B946881,0,0,85,2005.1
2020,2,BSAN UNB LD BSAN,7204647,A14B946881,0,0,353,9200.88
2021,2,BSAN UNB LD BSAN,7204647,A14B946881,0,0,33,771.16
2022,2,BSAN UNB LD BSAN,7204647,A14B946881,0,0,39,926.43
2023,2,BSAN UNB LD BSAN,7204647,A14B946881,0,0,205,6256.36
2024,2,BSAN UNB LD BSAN,7204647,A14B946881,0,0,162,5138.74
2016,3,BSAN UNB LD BSAN,7204647,A14B946881,0,0,50,1023.2
2017,3,BSAN UNB LD BSAN,7204647,A14B946881,0,0,103,2614.92
2018,3,BSAN UNB LD BSAN,7204647,A14B946881,0,0,80,1881.4
2019,3,BSAN UNB LD BSAN,7204647,A14B946881,0,0,89,2244.32
2020,3,BSAN UNB LD BSAN,7204647,A14B946881,0,0,296,7698.36
2021,3,BSAN UNB LD BSAN,7204647,A14B946881,0,0,28,648.07
2022,3,BSAN UNB LD BSAN,7204647,A14B946881,0,0,36,851.16
2023,3,BSAN UNB LD BSAN,7204647,A14B946881,0,0,96,2798.88
2016,4,BSAN UNB LD BSAN,7204647,A14B946881,0,0,209,4556.18
2017,4,BSAN UNB LD BSAN,7204647,A14B946881,0,0,131,3354.12
2018,4,BSAN UNB LD BSAN,7204647,A14B946881,0,0,248,6037.72
2019,4,BSAN UNB LD BSAN,7204647,A14B946881,0,0,157,3792.46
2020,4,BSAN UNB LD BSAN,7204647,A14B946881,0,0,81,2030.96
2021,4,BSAN UNB LD BSAN,7204647,A14B946881,0,0,42,1007.54
2022,4,BSAN UNB LD BSAN,7204647,A14B946881,0,0,42,1010.32
2023,4,BSAN UNB LD BSAN,7204647,A14B946881,0,0,125,3718.76
2024,4,BSAN UNB LD BSAN,7204647,A14B946881,0,0,186,6116.99
2016,5,BSAN UNB LD BSAN,7204647,A14B946881,0,0,217,4733.94
2017,5,BSAN UNB LD BSAN,7204647,A14B946881,0,0,341,8898.12
2018,5,BSAN UNB LD BSAN,7204647,A14B946881,0,0,156,3761.64
2019,5,BSAN UNB LD BSAN,7204647,A14B946881,0,0,265,6651.4
2020,5,BSAN UNB LD BSAN,7204647,A14B946881,0,0,22,498.58
2021,5,BSAN UNB LD BSAN,7204647,A14B946881,0,0,36,847.75
2022,5,BSAN UNB LD BSAN,7204647,A14B946881,0,0,54,1364.8
2023,5,BSAN UNB LD BSAN,7204647,A14B946881,0,0,252,7747.2
2024,5,BSAN UNB LD BSAN,7204647,A14B946881,0,0,170,5437.36
2016,6,BSAN UNB LD BSAN,7204647,A14B946881,0,0,196,4290.44
2017,6,BSAN UNB LD BSAN,7204647,A14B946881,0,0,379,9016.36
2018,6,BSAN UNB LD BSAN,7204647,A14B946881,0,0,187,4528.58
2019,6,BSAN UNB LD BSAN,7204647,A14B946881,0,0,209,5332.82
2020,6,BSAN UNB LD BSAN,7204647,A14B946881,0,0,21,471.64
2021,6,BSAN UNB LD BSAN,7204647,A14B946881,0,0,59,1514.48
2022,6,BSAN UNB LD BSAN,7204647,A14B946881,0,0,84,2251.0
2023,6,BSAN UNB LD BSAN,7204647,A14B946881,0,0,307,9491.8
2024,6,BSAN UNB LD BSAN,7204647,A14B946881,0,0,178,6233.58
2016,7,BSAN UNB LD BSAN,7204647,A14B946881,0,0,217,5113.2
2017,7,BSAN UNB LD BSAN,7204647,A14B946881,0,0,446,10936.24
2018,7,BSAN UNB LD BSAN,7204647,A14B946881,0,0,157,3786.38
2019,7,BSAN UNB LD BSAN,7204647,A14B946881,0,0,200,5167.8
2020,7,BSAN UNB LD BSAN,7204647,A14B946881,0,0,60,1544.68
2021,7,BSAN UNB LD BSAN,7204647,A14B946881,0,0,51,1276.18
2022,7,BSAN UNB LD BSAN,7204647,A14B946881,0,0,153,4289.26
2023,7,BSAN UNB LD BSAN,7204647,A14B946881,0,0,215,6573.56
2024,7,BSAN UNB LD BSAN,7204647,A14B946881,0,0,225,7954.72
2016,8,BSAN UNB LD BSAN,7204647,A14B946881,0,0,144,3361.2
2017,8,BSAN UNB LD BSAN,7204647,A14B946881,0,0,249,6062.46
2018,8,BSAN UNB LD BSAN,7204647,A14B946881,0,0,76,1782.44
