id,name,registration_number,hidrometer_number,created_at,updated_at,owner_id
512,EDITORA DA UNB SCLN 406 BL A SS 46,7192631,Y13K005652,2025-01-21 21:17:55.117999,2025-01-21 21:17:55.118022,1
513,ENG. FL,8159831,Y18N012100,2025-01-21 21:17:55.123736,2025-01-21 21:17:55.123759,1
514,FACULD. DE DIREITO CIÊNC. POL DIR. 1,4788095,E03N001214,2025-01-21 21:17:55.130475,2025-01-21 21:17:55.130498,1
515,FACULDADE DE EDUCAÇÃO UNB FE 5 LIG 1,475821,E78T000540,2025-01-21 21:17:55.137048,2025-01-21 21:17:55.137096,1
516,FACULDADE DE TECNOLOGIA FTD LIG 1,4758511,H78T000015,2025-01-21 21:17:55.143958,2025-01-21 21:17:55.143973,1
517,FGA,1858297,Ao6X053621,2025-01-21 21:17:55.149904,2025-01-21 21:17:55.149944,1
518,FUB -SCEN TR ESTAÇÃO  EXP. BIOLOGIA,85421,E03N000897,2025-01-21 21:17:55.157005,2025-01-21 21:17:55.157032,1
519,FUB – CAMPUS FACULDADE UNB GAMA,1853297,A06X053621,2025-01-21 21:17:55.162815,2025-01-21 21:17:55.162845,1
520,FUB-BRASÍLIA SCLN 205 BL. D LJ 07,196967,A00N445103,2025-01-21 21:17:55.168821,2025-01-21 21:17:55.168842,1
521,FUB-BRASÍLIA VNSF CJ B2 AREA UNIV. 1 UNI. PLANALTINA,3736563,C01N000109,2025-01-21 21:17:55.174416,2025-01-21 21:17:55.174436,1
522,FUB-FUNDAÇÃO UNIVERSIDADE DE BRASILIA SCLN 406 BL A LJ 42 – TERREO,198153,A03N526831,2025-01-21 21:17:55.183860,2025-01-21 21:17:55.183934,1
523,FUB. BRASÍLIA CNN 01 BL E SALAS CEILÂNDIA,2096005,A04N457307,2025-01-21 21:17:55.190844,2025-01-21 21:17:55.190879,1
524,FUND.UNIV. BRASÍLIA PCA CORETO,3315673,A05S118580,2025-01-21 21:17:55.197286,2025-01-21 21:17:55.197325,1
525,FUNDAÇÃO UNIV. DE BRASÍLIA SCLN 115 BLOCO ''A'' SS 5,189651,A05S044930,2025-01-21 21:17:55.203924,2025-01-21 21:17:55.203972,1
526,FUNDAÇÃO UNIV. DE BRASÍLIA SCLN 305 BL C ENT 34 1º PAVIM,4450281,A06F049027,2025-01-21 21:17:55.211402,2025-01-21 21:17:55.211421,1
527,FUNDAÇÃO UNIVERS DE BARASÍLIA SCLN 406 BL A SS 94,198323,y09x029362,2025-01-21 21:17:55.217270,2025-01-21 21:17:55.217299,1
528,FUNDAÇÃO UNIVERS DE BRASÍLIA SCLN 406 BL A SS 68,198234,A03N549451,2025-01-21 21:17:55.224829,2025-01-21 21:17:55.224860,1
529,FUNDAÇÃO UNIVERSIDADE DE BRASILIA G TORTO – CPAB,135992,Y18L274736,2025-01-21 21:17:55.230526,2025-01-21 21:17:55.230548,1
530,FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA  SQN 214 BL G AP 406,5378966,A07S409106,2025-01-21 21:17:55.236245,2025-01-21 21:17:55.236275,1
531,FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA AO LADO DO CEFTRU,5778981,Y08B986351,2025-01-21 21:17:55.241936,2025-01-21 21:17:55.241960,1
532,FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA SCLN 406 BL A LJ 72,198269,A97S533980,2025-01-21 21:17:55.249103,2025-01-21 21:17:55.249130,1
533,FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA SCLN 406 BL A SS 72,198251,A96T372747,2025-01-21 21:17:55.255035,2025-01-21 21:17:55.255060,1
534,FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA SCLN 406 BL A SS 78,198293,A07F658389,2025-01-21 21:17:55.260862,2025-01-21 21:17:55.260924,1
535,FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA SRNA Q 06 CJ M C 28,779237,Y08B993272,2025-01-21 21:17:55.266676,2025-01-21 21:17:55.266713,1
536,FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA UNB BL CENTRO DE CONV MU,6699359,A10X058627,2025-01-21 21:17:55.273929,2025-01-21 21:17:55.273954,1
537,GARAGEM  DA UNB,4859677,C01N000495,2025-01-21 21:17:55.280093,2025-01-21 21:17:55.280128,1
538,GRAFICA PAPELARIA LTDA SIGA Q 06 LT 1440 GAMA,562211,A7X055167,2025-01-21 21:17:55.286277,2025-01-21 21:17:55.286315,1
539,HOSPITAL VETERINÁRIO G. TORTO,136981,RV1WJB390106,2025-01-21 21:17:55.292082,2025-01-21 21:17:55.292101,1
540,INFRA UNB CESPE 01,4788089,A14B947243,2025-01-21 21:17:55.298865,2025-01-21 21:17:55.298911,1
541,INST. DE QUÍMICA UNB,4973534,C06N002634,2025-01-21 21:17:55.304807,2025-01-21 21:17:55.304835,1
542,INST. DE-ARTE IDA SCLN 406 BL. A LJ 32,198137,A05S117901,2025-01-21 21:17:55.310694,2025-01-21 21:17:55.310726,1
543,INSTITUTO DE CIÊNCIAS BIOLÓGICAS,5043923,F07N000395,2025-01-21 21:17:55.316502,2025-01-21 21:17:55.316528,1
544,INSTITUTO DE CIÊNCIAS BIOLÓGICAS,5048923,C03N000527,2025-01-21 21:17:55.329289,2025-01-21 21:17:55.329332,1
545,LAB FAC TEC,7991053,Y1BN047510,2025-01-21 21:17:55.367028,2025-01-21 21:17:55.367055,1
546,MASC CENTRO LIGAÇÃO A,6466656,Y10X356796,2025-01-21 21:17:55.372810,2025-01-21 21:17:55.372841,1
547,MASC NORTE PAV. ANISIO TEIXEIRA LIG. A,6467091,Y10X356794,2025-01-21 21:17:55.380743,2025-01-21 21:17:55.380793,1
548,MASC SUL INSTITUTO DE QUÍMICA LIG. A,6466613,Y10X356746,2025-01-21 21:17:55.388369,2025-01-21 21:17:55.388404,1
549,OFICINA MAQUETE P INSTITUTO DE  ARTE UNB,4803388,A06A04134,2025-01-21 21:17:55.394574,2025-01-21 21:17:55.394607,1
550,ORG INTER DO TRABALHO SEN Q 802 B D OIT,84476,BO7X003265,2025-01-21 21:17:55.400625,2025-01-21 21:17:55.400647,1
551,PAVILHÃO MULTIUSO UNB MULTIUSO 01,4790103,E03N001246,2025-01-21 21:17:55.406238,2025-01-21 21:17:55.406262,1
552,POSTO DE COMBUSTÍVEL UNB POSTO DE GASOLINA,4803401,A06A040133,2025-01-21 21:17:55.412659,2025-01-21 21:17:55.412685,1
553,PREFEITURA DA UNB LIGAÇÃO 02,4803426,E03N000289,2025-01-21 21:17:55.418628,2025-01-21 21:17:55.418649,1
554,PRÉDIO DO CPD,6190588,Y11X037170,2025-01-21 21:17:55.425632,2025-01-21 21:17:55.425657,1
555,SANEAGO UNB CERRADO,7002971,Y11F518077,2025-01-21 21:17:55.431524,2025-01-21 21:17:55.431553,1
556,TERMOBIOLOGIA - UNB,4973501,A03N643055,2025-01-21 21:17:55.437619,2025-01-21 21:17:55.437657,1
557,UNB  ARQUITETURA DANÇA SG 10-1 CEPLAN,4762401,E03N000308,2025-01-21 21:17:55.444014,2025-01-21 21:17:55.444029,1
558,UNB - PAVILHÃO JOÃO CALMON 01,4788117,E04N000180,2025-01-21 21:17:55.450846,2025-01-21 21:17:55.450865,1
559,UNB - POSTO DE SAÚDE,4803371,C03N001119,2025-01-21 21:17:55.456729,2025-01-21 21:17:55.456747,1
560,UNB - REITORIA LIGAÇÃO 01,4803477,E03N001158,2025-01-21 21:17:55.462392,2025-01-21 21:17:55.462414,1
561,UNB ALMOXARIFADO CENTRAL LIG. 01,4789946,C03N000966,2025-01-21 21:17:55.468323,2025-01-21 21:17:55.468356,1
562,UNB ASSOS. DOS SERVID. ASFUB LIG. 2,4758552,A04L054783,2025-01-21 21:17:55.477816,2025-01-21 21:17:55.477854,1
563,UNB BANCA DE REVISTA COLINA,4841671,A06A080132,2025-01-21 21:17:55.484385,2025-01-21 21:17:55.484420,1
564,UNB BANCO DO BRASIL LIGAÇÃO 01,4790049,C03N001205,2025-01-21 21:17:55.491651,2025-01-21 21:17:55.491675,1
565,UNB BANCO REAL LIGAÇÃO 01,4790073,C03N000596,2025-01-21 21:17:55.497581,2025-01-21 21:17:55.497610,1
566,UNB CANTINA CHICO MENDES,4790091,A06A039940,2025-01-21 21:17:55.503456,2025-01-21 21:17:55.503499,1
567,UNB CASA DO ESTUDANTE – CEU BLOCO A,4813261,E03N000829,2025-01-21 21:17:55.509519,2025-01-21 21:17:55.509551,1
568,UNB CASA DO ESTUDANTE – CEU BLOCO B LIG 4,4813278,E03N000284,2025-01-21 21:17:55.516783,2025-01-21 21:17:55.516811,1
569,UNB CASA DO PROFº 2 ADUNB LIG. 2,4758544,E03N000286,2025-01-21 21:17:55.522679,2025-01-21 21:17:55.522701,1
570,UNB CECEL COMP DE EDUCAÇÃO CULT E LAZER UNB SLE LT 01 PROJ A FGA GAMA,6548393,B10S029685,2025-01-21 21:17:55.528299,2025-01-21 21:17:55.528320,1
571,UNB CEILÂNDIA (ESCOLA) QNN 26,6530923,D11X000476,2025-01-21 21:17:55.534381,2025-01-21 21:17:55.534426,1
